"AgeGroup","Age","MaleDeaths","FemaleDeaths","TotalDeaths"
"Pre-Teen",<13,475,368,845
"Teen",13-15,286,159,448
"Teen",16-19,1580,705,2290
"Young Adult",20-24,3014,1128,4144
"Young Adult",25-29,3019,1053,4077
"Young Adult",30-34,2722,911,3636
"Young Adult",35-39,2289,810,3107
"Young Adult",40-44,2033,688,2729
"Middle Aged",45-49,1887,649,2541
"Middle Aged",50-54,1989,687,2681
"Middle Aged",55-59,2245,705,2955
"Middle Aged",60-64,1982,660,2650
"Elderly",65-69,1446,532,1979
"Elderly",70-74,1053,495,1554
"Elderly",75-79,787,436,1226
"Elderly",80-84,541,338,882
"Elderly",85+,571,334,908
"Total",Total,28033,10690,38824